Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
omega_7654	-111.259819	-114.433754	5.886894	-2.712951	0.000000	0.000000	COc1ccccc1C=CC(=O)c2ccc3c4c2cccc4C(=O)N(C3=O)c5ccccc5
omega_167256	-111.252800	-111.080467	8.527558	-8.699890	0.000000	0.000000	c1ccc2cc(ccc2c1)NC(=O)CN3c4cccc5c4c(ccc5)C3=O
omega_97008	-111.250992	-113.640724	8.680180	-6.290450	0.000000	0.000000	Cc1ccc(cc1C)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5OC
omega_95496	-111.246780	-113.277672	6.121356	-4.090465	0.000000	0.000000	CCc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5
omega_163456	-111.085388	-110.557106	5.726926	-6.255209	0.000000	0.000000	Cc1cc2c(c(c1)n3nc4ccccc4n3)oc(n2)SCC(=O)c5ccc6ccccc6c5
omega_94683	-111.055122	-111.202370	7.494043	-7.346794	0.000000	0.000000	Cc1cccc(c1C)N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(s5)Cl
omega_103458	-111.004364	-122.342087	17.474384	-2.801350	-3.335327	0.000000	C=CCn1c(nnc1Sc2c(c3ccc(cc3nc2O)Cl)c4ccccc4)c5cccnc5
omega_114664	-110.820290	-117.106331	12.662149	-6.376122	0.000000	0.000000	CCOC(=O)c1c2c(sc1NC(=O)c3c(cn(n3)C45CC6CC(C4)CC(C6)C5)[N+](=O)[O-])CCCC2
omega_55800	-110.763695	-112.602844	7.752132	-5.912980	0.000000	0.000000	c1ccc(cc1)N=c2c(cc3ccccc3o2)c4nc5ccccc5s4
omega_15547	-110.729454	-114.451469	12.154585	-8.432567	0.000000	0.000000	Cc1cc(ccc1OCCC(C)C)c2c(cn(n2)c3ccccc3)C=C4C(=O)N=C(S4)N5CCOCC5
omega_93738	-110.600426	-111.533287	7.495392	-6.562535	0.000000	0.000000	Cc1cccc(c1C)N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(s5)C
omega_32446	-110.514168	-111.117622	4.419447	-3.815988	0.000000	0.000000	Cc1ccc(cc1)C(=O)CC(=C2CCCc3ccccc3C2=O)c4ccccc4
omega_81910	-110.503510	-109.060181	11.079569	-12.522895	0.000000	0.000000	c1ccc(cc1)n2cc(c(n2)C(=O)c3nc4ccccc4s3)C(=O)c5ccc6ccccc6c5
omega_44925	-110.481598	-115.730942	7.437175	-2.187835	0.000000	0.000000	COc1ccccc1N2CCN(CC2)S(=O)(=O)c3cccc4c3C(=O)c5ccccc5C4=O
omega_168911	-110.339890	-112.145172	12.141059	-9.939715	-0.396056	0.000000	c1ccc2c(c1)[nH]c(n2)CSc3nc4c(c5c(s4)CCCC5)c(=O)n3c6ccc(cc6)Cl
omega_96122	-110.311455	-107.261017	8.019958	-11.070395	0.000000	0.000000	c1ccc2c(c1)c3ccccc3n2C(=O)COc4nc5ccccc5s4
omega_82317	-110.266762	-106.771591	6.649896	-10.145067	0.000000	0.000000	c1cc(ccc1CSc2nnc(n2N)C34CC5CC(C3)CC(C5)C4)F
omega_115270	-110.230667	-113.001968	6.785377	-4.014068	0.000000	0.000000	CC(C)c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5OC
omega_95527	-110.195686	-111.737846	7.657781	-6.115629	0.000000	0.000000	CCOc1ccccc1N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5cccc(c5)Br
omega_12982	-110.127602	-113.908623	7.031385	-3.250375	0.000000	0.000000	COc1ccc(cc1OC)C(=O)CSc2nc3c(c(cs3)c4ccccc4)c(=O)n2c5ccccc5
omega_31635	-110.125023	-111.110252	5.840247	-4.855014	0.000000	0.000000	c1ccc(c(c1)C(=O)NC(C(F)(F)F)(C(F)(F)F)Nc2c(c3c(s2)CCCC3)C#N)F
omega_98426	-110.105675	-112.690926	6.163065	-3.577812	0.000000	0.000000	c1ccc(cc1)CC2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(cc5)Cl
omega_44131	-110.024773	-111.555244	5.478858	-3.948387	0.000000	0.000000	Cc1ccc(cc1)OCCn2c3ccccc3nc2SCc4cccc5c4cccc5
omega_99838	-109.970154	-109.128799	7.086786	-7.928132	0.000000	0.000000	c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5F
omega_53684	-109.962433	-103.675919	5.979021	-12.265537	0.000000	0.000000	c1ccc(cc1)c2ccc(cc2)C(=O)Cn3c4ccccc4n5c3ncn5
omega_124010	-109.926338	-112.700493	15.262823	-2.659791	-9.828877	0.000000	CSc1c(c(nc(n1)N)SCC(=O)C23CC4CC(C2)CC(C4)C3)C#N
omega_115216	-109.915192	-110.938232	5.841609	-4.818570	0.000000	0.000000	CC(C)c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5
omega_94946	-109.908646	-101.515778	12.729960	-21.122831	0.000000	0.000000	c1ccc2c(c1)CCN(C2)C(=O)c3cc4nc(cc(n4n3)C(F)(F)F)c5ccco5
omega_89657	-109.879288	-105.034943	5.988742	-8.568994	-2.264091	0.000000	COC(=O)c1ccc(cc1)COC(=O)c2ccc3ccccc3c2O
omega_123996	-109.860710	-103.893013	5.111143	-11.078837	0.000000	0.000000	C1CSCCC12C(C2(C#N)C#N)C(=O)C34CC5CC(C3)CC(C5)C4
omega_58828	-109.851173	-114.050339	9.735260	-5.536104	0.000000	0.000000	c1ccc(cc1)c2cc(n3c(n2)c(cn3)C(=O)Nc4c(c5c(s4)CCCC5)C#N)C(F)(F)F
omega_196017	-109.812187	-111.962257	4.278735	-2.128652	0.000000	0.000000	CCN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)N(C)Cc4ccccc4
omega_158242	-109.805138	-116.156059	11.211721	-4.860797	0.000000	0.000000	COc1ccccc1N2CCN(CC2)C(=O)C(=Cc3ccccc3)NC(=O)c4ccccc4
omega_81972	-109.729401	-111.751755	7.459370	-5.437011	0.000000	0.000000	CC(=O)c1c(cn(n1)c2ccc(cc2)Br)C(=O)c3ccc4ccccc4c3
omega_161718	-109.686981	-110.850418	8.863529	-7.700089	0.000000	0.000000	CCN1C(=O)C(=Cc2cc(ccc2OCC)Br)SC1=Nc3ccc(cc3)OCC
omega_80053	-109.664444	-109.781380	5.000042	-4.883105	0.000000	0.000000	COc1ccccc1N2CCN(CC2)CC(=O)n3c4ccccc4c5c3cccc5
omega_166930	-109.643799	-107.907730	5.137877	-6.873944	0.000000	0.000000	COc1ccc(cc1)N2CCN(CC2)C(=O)N3c4ccccc4Sc5c3cccc5
omega_101503	-109.582077	-110.972916	6.805337	-5.414500	0.000000	0.000000	c1ccc2c(c1)c(cc(n2)c3cccc(c3)Br)C(=O)N4CCN(CC4)c5ccccc5F
omega_181364	-109.523094	-113.654137	5.566155	-1.435106	0.000000	0.000000	Cc1ccccc1N2CCN(CC2)S(=O)(=O)c3cc(ccc3OC)C(C)(C)C
omega_26701	-109.520279	-99.037033	9.566293	-6.872260	-13.177280	0.000000	c1ccc2cc(ccc2c1)NC(=O)CSCc3c[nH]c4c3cccc4
omega_101248	-109.482040	-109.906143	7.738343	-7.314238	0.000000	0.000000	CCOc1ccccc1N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(cc5)Br
omega_114751	-109.447365	-116.883781	14.253010	-6.816588	0.000000	0.000000	CCOC(=O)c1c(c(sc1NC(=O)c2c(cn(n2)C34CC5CC(C3)CC(C5)C4)[N+](=O)[O-])C(=O)OCC)C
omega_192391	-109.396301	-105.116531	6.092480	-5.474118	-4.898138	0.000000	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3c(cccc3Cl)N
omega_198380	-109.386749	-109.613876	13.299789	-13.072667	0.000000	0.000000	c1ccc(cc1)c2nc3ccccc3c4n2c(nn4)SCCOc5ccccc5
omega_57002	-109.333145	-109.912018	6.196578	-5.617709	0.000000	0.000000	CCOc1ccc2c(c1)-c3c(ssc3=S)C(N2C(=O)Cc4ccc(cc4)F)(C)C
omega_23422	-109.307854	-113.697517	7.744119	-3.354457	0.000000	0.000000	c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])N2CCN(CC2)C(=O)c3cc(c(cc3Cl)F)F
omega_100302	-109.293503	-111.544586	8.932354	-6.681273	0.000000	0.000000	Cc1c(c2ccccc2nc1c3ccccc3)C(=O)Nc4c(c5c(s4)CCCCCC5)C#N
omega_96129	-109.274780	-110.444016	7.840439	-6.671197	0.000000	0.000000	c1ccc2c(c1)c3c(n2C(=O)COc4nc5ccccc5s4)CCCC3
omega_58078	-109.244652	-114.566940	14.333162	-8.832593	-0.178280	0.000000	c1ccc(cc1)c2c3cc(ccc3[nH]c(=O)c2C(=O)C=Cc4ccc5c(c4)cccn5)Cl
omega_101345	-109.233513	-116.518127	7.682926	-0.398317	0.000000	0.000000	CCOc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)NC45CC6CC(C4)CC(C6)C5
omega_121843	-109.209549	-109.776550	8.115913	-7.548722	-0.000185	0.000000	c1ccc(cc1)CC(Cc2ccccc2)c3[nH]c(=O)c4c5c(sc4n3)CCCCC5
omega_162963	-109.107956	-107.749535	12.019615	-13.079576	-0.298456	0.000000	Cn1c(nnc1SCC(=O)Nc2ccccc2)C34CC5CC(C3)CC(C5)C4
omega_23844	-109.102974	-106.480003	6.649894	-9.272861	0.000000	0.000000	Cn1c2ccccc2nc1SCC(=O)N3c4ccccc4Sc5c3cccc5
omega_16148	-109.093163	-112.178978	10.102097	-7.016282	0.000000	0.000000	Cc1cc(ccc1c2c(cn(n2)c3ccccc3)C=C4C(=O)N=C(S4)N5CCCCC5)OC
omega_88071	-109.076248	-110.203186	4.330368	-3.203430	0.000000	0.000000	c1ccc(cc1)c2ccc(cc2)C(=O)c3ccccc3C(=O)OCc4ccc(cc4)Br
omega_2668	-109.069672	-110.160721	4.313788	-3.222734	0.000000	0.000000	COC(=O)c1ccccc1C(=O)c2ccc-3c(c2)-c4cccc5c4c3ccc5
omega_88212	-109.062874	-111.637657	2.993351	-0.418571	0.000000	0.000000	Cc1cccc2c1nc(cc2C(=O)Oc3ccc4ccccc4c3)c5ccc(cc5)Cl
omega_161923	-109.062424	-112.302132	8.667714	-5.428004	0.000000	0.000000	Cc1ccc(cc1)N=C2N(C(=O)C(=Cc3ccccc3OCc4ccccc4C#N)S2)C
omega_42225	-109.046165	-115.597656	13.322969	-6.108080	-0.663401	0.000000	Cn1c2c(c(=O)[nH]c1=O)n(c(n2)SCCCc3ccccc3)CCCc4ccccc4
omega_103487	-108.995628	-107.682426	6.612571	-7.925772	0.000000	0.000000	Cc1ccc(c(c1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5F)C
omega_31212	-108.926514	-102.208694	10.869506	-17.587328	0.000000	0.000000	CN(Cc1ccccc1)C(=O)c2cc3nc-4c(c(n3n2)C(F)(F)F)CCc5c4cccc5
omega_93834	-108.857079	-111.858162	9.610439	-6.609355	0.000000	0.000000	Cc1cccc(c1)c2cc(c3ccccc3n2)C(=O)Nc4c(c5c(s4)CCCCCC5)C#N
omega_96865	-108.740784	-109.058281	5.494112	-5.176618	0.000000	0.000000	c1ccc2c(c1)c(cc(n2)c3ccc(c(c3)Cl)Cl)C(=O)N4CCN(CC4)c5cccc(c5)Cl
omega_80543	-108.709366	-105.398003	12.787082	-16.098425	-0.000025	0.000000	c1ccc(cc1)C(CC(=O)Nc2nnc(s2)C3CCCCC3)c4ccccc4
omega_199332	-108.697128	-110.461342	7.070276	-5.306065	0.000000	0.000000	CC(=O)c1c(cn(n1)c2ccc(cc2)F)C(=O)c3ccc4ccccc4c3
omega_25645	-108.693993	-110.818794	5.971468	-3.846663	0.000000	0.000000	c1cc(nc(c1C#N)SCC(=O)C23CC4CC(C2)CC(C4)C3)C56CC7CC(C5)CC(C7)C6
omega_108050	-108.684265	-111.186981	9.121688	-6.618976	0.000000	0.000000	COc1ccccc1N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(s5)Cl
omega_36620	-108.638237	-110.638390	6.620749	-4.464703	-0.155880	0.000000	c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)NCCC34CC5CC(C3)CC(C5)C4
omega_25743	-108.631706	-103.676125	10.326550	-15.282130	0.000000	0.000000	Cc1cccnc1NC(=O)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)F
omega_94410	-108.580650	-111.111229	8.914606	-6.384026	0.000000	0.000000	Cc1c(c2ccccc2nc1c3ccccc3)C(=O)Nc4c(c5c(s4)CCCCC5)C#N
omega_108290	-108.504311	-109.080498	6.560237	-5.984050	0.000000	0.000000	Cc1c(c2ccccc2nc1c3ccc(cc3)Cl)C(=O)N4CCN(CC4)c5ccccc5
omega_3305	-108.495865	-102.377708	6.648393	-12.766540	0.000000	0.000000	CN1CCN(CC1)C(=O)c2ccccc2Sc3cccc4c3cccc4
omega_87195	-108.454346	-112.218224	4.205393	-0.441521	0.000000	0.000000	Cc1ccc(cc1)c2cc(c3cccc(c3n2)C)C(=O)Oc4ccc5ccccc5c4
omega_48735	-108.375862	-105.108475	4.219050	-7.486439	0.000000	0.000000	Cc1ccc2c(c1)-c3c(ssc3=S)C(N2C(=O)CCC4CCCCC4)(C)C
omega_48734	-108.365952	-104.210587	4.015942	-8.171314	0.000000	0.000000	CC1(c2c(c(=S)ss2)-c3ccccc3N1C(=O)CCC4CCCCC4)C
omega_81978	-108.317802	-109.092949	5.467049	-4.691893	0.000000	0.000000	CCOC(=O)c1c(cn(n1)c2ccccc2)C(=O)c3ccc(cc3)c4ccccc4
omega_124076	-108.307022	-111.782532	10.266144	-6.789313	-0.001328	0.000000	c1ccc2c(c1)CCN(C2)C(=O)c3c(c4c(cc(nc4s3)c5ccc6c(c5)OCO6)C(F)(F)F)N
omega_100509	-108.300964	-109.099442	6.236132	-5.437657	0.000000	0.000000	Cc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccc(cc5)F
omega_174168	-108.288078	-105.860878	4.447271	-6.874469	0.000000	0.000000	COC(=O)c1c2c(sc1NC(=S)N3CCN(CC3)Cc4ccccc4)CCC2
omega_99080	-108.270393	-110.618980	4.406332	-2.057737	0.000000	0.000000	Cc1cccc(c1C)N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5cccc(c5)Br
omega_22173	-108.263611	-110.386810	3.142101	-1.018906	0.000000	0.000000	c1ccc2c(c1)cccc2COc3ccc(cc3Br)C=c4c(=O)n5c6ccccc6nc5s4
omega_123516	-108.199028	-105.972679	12.710891	-14.937252	0.000000	0.000000	c1ccc(cc1)c2cc(c3c(c(sc3n2)C(=O)c4ccc5c(c4)OCCO5)N)C(F)(F)F
omega_42224	-108.195503	-114.207756	13.007359	-6.832582	-0.162526	0.000000	Cn1c2c(c(=O)[nH]c1=O)n(c(n2)SCCc3ccccc3)CCCc4ccccc4
omega_94828	-108.185310	-107.176369	6.903444	-7.912394	0.000000	0.000000	CCc1ccc(cc1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5cccc(c5)Cl
omega_11382	-108.170624	-104.676193	20.155680	-7.992002	-15.658111	0.000000	COc1cccc(c1O)C=NNC(=O)c2cc(n[nH]2)C34CC5CC(C3)CC(C5)C4
omega_29483	-108.152618	-114.211151	8.836102	-2.777575	0.000000	0.000000	CCOC(=O)Cn1c(csc1=Nc2ccccc2)c3cccc(c3)N4C(=O)c5ccccc5C4=O
omega_195488	-108.139130	-113.259918	8.316726	-3.195940	0.000000	0.000000	CCc1ccc(cc1)S(=O)(=O)Nc2ccc3c4c2C(=O)c5ccccc5-c4cc(=O)n3C
omega_82274	-108.120422	-107.710037	10.529771	-10.940168	0.000000	0.000000	CCOC(=O)COc1ccc(cc1C(=O)c2cc3c(nc2)-c4ccccc4OC3)C
omega_95486	-108.092880	-110.567245	8.978164	-6.503787	0.000000	0.000000	Cc1ccc(s1)c2cc(c3ccccc3n2)C(=O)N4CCN(CC4)c5ccccc5OC
omega_114752	-108.035400	-113.700684	11.922241	-6.256972	0.000000	0.000000	CCOC(=O)c1c2c(sc1NC(=O)c3c(cn(n3)C45CC6CC(C4)CC(C6)C5)[N+](=O)[O-])CCC2
omega_31700	-108.017616	-106.863197	5.535873	-6.690286	0.000000	0.000000	c1cc(ccc1C(=O)NC(C(F)(F)F)(C(F)(F)F)Nc2c(c3c(s2)CCCC3)C#N)Cl
omega_93153	-107.998932	-102.161713	10.521018	-16.358238	0.000000	0.000000	c1ccc(cc1)c2cc(n3c(n2)cc(n3)C(=O)N4CCc5ccccc5C4)C(F)(F)F
omega_184141	-107.968575	-104.479454	12.520220	-7.063180	-8.946151	0.000000	c1ccc(cc1)COC(=O)CCN2C(=O)c3ccc(cc3C2=O)C(=O)O
omega_99250	-107.963257	-102.349533	3.324883	-8.938607	0.000000	0.000000	Cc1cccc(c1C)N2CCN(CC2)C(=O)C=Cc3ccccc3Cl
